"name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","r_total_caught_stealing","r_total_stolen_base","r_run","r_stolen_base_2b","r_stolen_base_3b","r_stolen_base_pct","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","n_bolts","sprint_speed",""
"Cabrera, Miguel","408234","2021","38","472","526","121","90","16","0","15","118","40",22.4,7.6,".256",".386",".316","0.702","75","0","0","48","0","0",,"91.4","10",32.8,"30",8.3,,"23.9",
"Cruz Jr., Nelson","443558","2021","40","513","584","136","82","21","1","32","126","51",21.6,8.7,".265",".497",".334","0.831","86","0","3","79","3","0",,"92.9","11.8",31.8,"54",13.6,,"26.0",
"Peralta, David","444482","2021","33","487","538","126","80","30","8","8","92","46",17.1,8.6,".259",".402",".325","0.727","63","1","2","57","2","0",,"89.3","5.3",27.2,"20",5,,"27.6",
"Blackmon, Charlie","453568","2021","34","514","582","139","97","25","4","13","91","54",15.6,9.3,".270",".411",".351","0.762","78","0","3","76","3","0",,"87.6","10.2",32.6,"30",7,"1","27.7",
"McCutchen, Andrew","457705","2021","34","482","574","107","55","24","1","27","132","81",23,14.1,".222",".444",".334","0.778","80","1","6","78","5","0",,"88.8","14.6",33.6,"32",9,"5","28.7",
"Turner, Justin","457759","2021","36","533","612","148","99","22","0","27","98","61",16,10,".278",".471",".361","0.832","87","0","3","87","2","1",,"90.9","19.2",36.5,"35",7.9,,"25.5",
"Votto, Joey","458015","2021","37","448","533","119","59","23","1","36","127","77",23.8,14.4,".266",".563",".375","0.938","99","0","1","73","0","1",,"92.9","18.2",44.3,"56",17.2,,"25.2",
"Andrus, Elvis","462101","2021","32","497","541","121","91","25","2","3","81","31",15,5.7,".243",".320",".294","0.614","37","2","12","60","9","3",,"87.8","8.1",34,"9",2.1,,"26.7",
"Santana, Carlos","467793","2021","35","565","659","121","87","15","0","19","102","86",15.5,13.1,".214",".342",".319","0.661","69","0","2","66","2","0",,"89.9","12.9",28,"32",6.8,,"24.9",
"Lowrie, Jed","476704","2021","37","457","512","112","70","28","0","14","108","49",21.1,9.6,".245",".398",".318","0.716","69","0","0","55","0","0",,"90.7","16.4",36.5,"33",9.3,,"25.2",
"Brantley Jr., Michael","488726","2021","34","469","508","146","106","29","3","8","53","33",10.4,6.5,".311",".437",".362","0.799","47","0","1","68","1","0",,"89.5","9.9",38.8,"24",5.8,,"25.7",
"Gurriel, Yuli","493329","2021","37","530","605","169","123","31","0","15","68","59",11.2,9.8,".319",".462",".383","0.845","81","1","1","83","1","0",,"89.8","13.4",31,"16",3.4,,"27.0",
"Rojas, Miguel","500743","2021","32","495","539","131","89","30","3","9","74","37",13.7,6.9,".265",".392",".322","0.714","48","3","13","66","10","3",,"86.2","11.5",32.4,"12",2.8,,"26.6",
"Escobar, Eduardo","500871","2021","32","549","599","139","80","26","5","28","124","48",20.7,8,".253",".472",".314","0.786","90","0","1","77","1","0",,"87","20.8",38,"38",8.9,,"27.4",
"Pham, Tommy","502054","2021","33","475","561","109","68","24","2","15","128","78",22.8,13.9,".229",".383",".340","0.723","49","6","14","74","13","0",,"90.8","7.6",35.6,"35",10,,"27.8",
"Martinez, J.D.","502110","2021","33","570","634","163","90","42","3","28","150","55",23.7,8.7,".286",".518",".349","0.867","99","0","0","92","0","0",,"92.1","16.9",41.2,"53",12.5,,"26.1",
"Goldschmidt, Paul","502671","2021","33","603","679","177","108","36","2","31","136","67",20,9.9,".294",".514",".365","0.879","99","0","12","102","10","2",,"92.6","17.1",36.9,"64",13.6,,"26.2",
"Altuve, Jose","514888","2021","31","601","678","167","103","32","1","31","91","66",13.4,9.7,".278",".489",".350","0.839","83","3","5","117","3","2",,"87.7","15.6",32.1,"33",6.4,"40","28.0",
"Hernandez, Cesar","514917","2021","31","570","637","132","88","21","2","21","135","59",21.2,9.3,".232",".386",".308","0.694","62","1","1","84","1","0",,"87.4","10.7",32.6,"30",6.8,"34","28.7",
"Segura, Jean","516416","2021","31","514","567","149","105","27","3","14","78","39",13.8,6.9,".290",".436",".348","0.784","58","3","9","76","8","1",,"87.2","5.8",31.1,"26",5.9,"4","27.3",
"Marte, Starling","516782","2021","32","467","526","145","103","27","3","12","99","43",18.8,8.2,".310",".458",".383","0.841","55","5","47","89","42","5",,"87.6","4.6",32.6,"31",8.4,"22","28.4",
"Donaldson, Josh","518626","2021","35","457","543","113","61","26","0","26","114","74",21,13.6,".247",".475",".352","0.827","72","0","0","73","0","0",,"94.1","14.6",30.2,"61",17.4,,"24.5",
"Freeman, Freddie","518692","2021","31","600","695","180","122","25","2","31","107","85",15.4,12.2,".300",".503",".393","0.896","83","3","8","120","7","0",,"91.4","12",37.2,"57",11.5,,"27.0",
"LeMahieu, DJ","518934","2021","32","597","679","160","125","24","1","10","94","73",13.8,10.8,".268",".362",".349","0.711","57","2","4","84","3","1",,"90.6","5",33.3,"19",3.7,,"26.5",
"Rizzo, Anthony","519203","2021","31","496","576","123","75","23","3","22","87","52",15.1,9,".248",".440",".344","0.784","61","2","6","73","6","0",,"90.1","14.8",31.4,"32",7.7,,"25.2",
"Stanton, Giancarlo","519317","2021","31","510","579","139","85","19","0","35","157","63",27.1,10.9,".273",".516",".354","0.870","97","0","0","64","0","0",,"95.1","10.3",32.6,"56",15.7,,"24.7",
"Perez, Salvador","521692","2021","31","620","665","169","97","24","0","48","170","28",25.6,4.2,".273",".544",".316","0.860","121","0","1","88","1","0",,"93","15.9",34.1,"74",16.3,,"26.1",
"Garcia, Avisail","541645","2021","30","461","515","121","74","18","0","29","121","38",23.5,7.4,".262",".490",".330","0.820","86","4","8","68","8","0",,"90.4","9.3",35.9,"42",12.2,"1","28.6",
"Villar, Jonathan","542340","2021","30","454","505","113","75","18","2","18","132","46",26.1,9.1,".249",".416",".322","0.738","42","7","14","63","12","2",,"88","7",29.9,"24",7.4,,"27.3",
"Aguilar, Jesus","542583","2021","31","449","510","117","72","23","0","22","93","46",18.2,9,".261",".459",".329","0.788","93","0","0","49","0","0",,"89.6","19",34.7,"31",8.5,,"24.3",
"Crawford, Brandon","543063","2021","34","483","549","144","87","30","3","24","105","56",19.1,10.2,".298",".522",".373","0.895","90","3","11","79","7","4",,"88.8","14.7",35.8,"44",11.5,,"25.8",
"Cron, C.J.","543068","2021","31","470","547","132","72","31","1","28","117","60",21.4,11,".281",".530",".375","0.905","92","0","1","70","1","0",,"88.8","15.8",31.9,"41",11.5,,"25.9",
"Grossman, Robbie","543257","2021","31","557","671","133","84","23","3","23","155","98",23.1,14.6,".239",".415",".357","0.772","67","5","20","88","19","1",,"87.8","21.1",39.5,"31",7.6,,"27.8",
"Harrison, Josh","543281","2021","33","505","558","141","98","33","2","8","75","31",13.4,5.6,".279",".400",".341","0.741","60","5","9","58","8","1",,"87.2","14.5",39.5,"19",4.4,,"26.8",
"Hosmer, Eric","543333","2021","31","509","565","137","97","28","0","12","99","48",17.5,8.5,".269",".395",".337","0.732","65","4","5","53","5","0",,"90.5","3.3",26.6,"24",5.8,,"26.0",
