"name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","r_total_caught_stealing","r_total_stolen_base","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","hp_to_1b","sprint_speed",""
"Pujols, Albert","405395","2021","41","275","296","65","45","3","0","17","45","14",15.2,4.7,".236",".433",".284","0.717","50","0","2","90.3",29.3,9.1,"5.15","22.4",
"Cabrera, Miguel","408234","2021","38","472","526","121","90","16","0","15","118","40",22.4,7.6,".256",".386",".316","0.702","75","0","0","91.4",32.8,8.3,"5.01","23.9",
"Rivera, Rene","425784","2021","37","69","78","16","11","3","0","2","29","4",37.2,5.1,".232",".362",".293","0.655","9","0","0","88.5",30.2,9.3,"4.78","26.0",
"Wainwright, Adam","425794","2021","39","57","74","7","5","2","0","0","25","3",33.8,4.1,".123",".158",".167","0.325","4","0","0","86.1",15.2,2.2,,"23.3",
"Molina, Yadier","425877","2021","38","440","473","111","81","19","0","11","79","24",16.7,5.1,".252",".370",".297","0.667","66","0","3","88",34.1,5.2,"4.92","22.6",
"Suzuki, Kurt","435559","2021","37","219","247","49","35","8","0","6","44","12",17.8,4.9,".224",".342",".294","0.636","16","0","0","85.2",28.9,3.9,"4.92","24.6",
"Cruz Jr., Nelson","443558","2021","40","513","584","136","82","21","1","32","126","51",21.6,8.7,".265",".497",".334","0.831","86","0","3","92.9",31.8,13.6,"4.69","26.0",
"Peralta, David","444482","2021","33","487","538","126","80","30","8","8","92","46",17.1,8.6,".259",".402",".325","0.727","63","1","2","89.3",27.2,5,"4.38","27.6",
"Pina, Manny","444489","2021","34","180","208","34","15","6","0","13","38","22",18.3,10.6,".189",".439",".293","0.732","33","0","0","86.5",32.2,10.5,"4.93","25.1",
"Escobar, Alcides","444876","2021","34","319","349","92","65","21","2","4","56","17",16,4.9,".288",".404",".340","0.744","28","0","3","81.7",36.3,3,"4.37","27.4",
"Jay, Jon","445055","2021","36","14","14","5","5","0","0","0","2","0",14.3,0,".357",".357",".357","0.714","1","0","0","83.2",25,0,,"25.9",
"Longoria, Evan","446334","2021","35","253","291","66","36","17","0","13","68","35",23.4,12,".261",".482",".351","0.833","46","1","1","94.1",34.2,13.4,"4.7","26.1",
"Lobaton, Jose","446653","2021","36","11","13","0","0","0","0","0","5","2",38.5,15.4,".000",".000",".154","0.154","0","0","0","90.4",33.3,0,,,
"Hill, Rich","448179","2021","41","24","26","3","3","0","0","0","10","0",38.5,0,".125",".125",".125","0.250","0","0","0","68.3",18.8,0,,"25.1",
"Morton, Charlie","450203","2021","37","55","62","7","6","1","0","0","31","0",50,0,".127",".145",".127","0.272","1","0","0","80.8",25.8,0,,"21.4",
"Fowler, Dexter","451594","2021","35","20","21","5","5","0","0","0","6","1",28.6,4.8,".250",".250",".286","0.536","1","0","1","86.7",42.9,0,,,
"Lester, Jon","452657","2021","37","48","51","8","5","2","0","1","24","2",47.1,3.9,".167",".271",".200","0.471","3","0","0","86",40,8,,,
"Cabrera, Asdrubal","452678","2021","35","309","352","71","43","21","0","7","80","36",22.7,10.2,".230",".366",".313","0.679","42","0","1","87.8",30,6,"4.79","24.9",
"LeBlanc, Wade","453281","2021","36","11","13","0","0","0","0","0","3","0",23.1,0,".000",".000",".000","0.000","0","0","0","77.5",0,0,,,
"Scherzer, Max","453286","2021","36","59","63","0","0","0","0","0","28","0",44.4,0,".000",".000",".000","0.000","1","0","0","85.6",22.9,0,,"21.0",
"Arrieta, Jake","453562","2021","35","23","30","3","3","0","0","0","16","2",53.3,6.7,".130",".130",".231","0.361","0","0","0","77.4",27.3,0,,,
"Blackmon, Charlie","453568","2021","34","514","582","139","97","25","4","13","91","54",15.6,9.3,".270",".411",".351","0.762","78","0","3","87.6",32.6,7,"4.34","27.7",
"Frazier, Todd","453943","2021","35","35","40","3","2","1","0","0","6","3",15,7.5,".086",".114",".200","0.314","4","0","0","87.5",17.2,3.4,"4.8","24.2",
"Maldonado, Martin","455117","2021","34","373","426","64","41","10","1","12","127","47",29.8,11,".172",".300",".272","0.572","36","0","0","88",30.8,5.7,"5.06","23.5",
"Chirinos, Robinson","455139","2021","37","97","112","22","11","5","1","5","36","9",32.1,8,".227",".454",".324","0.778","15","0","0","89.4",29,8.1,,"24.8",
"Price, David","456034","2021","35","15","18","4","3","1","0","0","3","0",16.7,0,".267",".333",".250","0.583","2","0","0","84.4",20,0,,,
"Cueto, Johnny","456501","2021","35","29","37","2","2","0","0","0","9","3",24.3,8.1,".069",".069",".156","0.225","0","0","1","75.9",8,0,,"24.0",
"Cain, Lorenzo","456715","2021","35","257","286","66","45","13","0","8","48","26",16.8,9.1,".257",".401",".329","0.730","36","2","13","88.4",29,4.3,"4.37","28.7",
"Solano, Donovan","456781","2021","33","307","344","86","62","17","0","7","58","25",16.9,7.3,".280",".404",".344","0.748","31","0","2","88.3",39.8,7.5,"4.57","26.1",
"McCutchen, Andrew","457705","2021","34","482","574","107","55","24","1","27","132","81",23,14.1,".222",".444",".334","0.778","80","1","6","88.8",33.6,9,"4.37","28.7",
"Upton, Justin","457708","2021","33","318","362","67","38","12","0","17","107","39",29.6,10.8,".211",".409",".296","0.705","41","1","4","90.1",30.4,11.7,"4.6","27.5",
"Maybin, Cameron","457727","2021","34","28","33","1","1","0","0","0","12","3",36.4,9.1,".036",".036",".182","0.218","0","0","1","88.3",12.5,0,,"29.2",
"Turner, Justin","457759","2021","36","533","612","148","99","22","0","27","98","61",16,10,".278",".471",".361","0.832","87","0","3","90.9",36.5,7.9,"4.78","25.5",
"Posey III, Buster","457763","2021","34","395","454","120","79","23","0","18","87","56",19.2,12.3,".304",".499",".390","0.889","56","0","0","88.5",38.4,8.1,"4.84","24.2",
