"year","name","player_id","team_id","pa","pitches","runs_all","runs_heart","runs_shadow","runs_chase","runs_waste"
"2022","Eaton, Nate","681987","118","122","479","-1","0","-6","4","2"
"2022","Rivero, Sebastián ","665861","118","29","110","-2","-3","0","0","0"
"2022","Rooker, Brent","667670","118","36","142","-5","-1","-5","0","0"
"2022","Taylor, Michael A.","572191","118","456","1717","-7","-11","-14","10","9"
"2022","Pratto, Nick","668472","118","182","787","-2","1","-11","5","3"
"2022","Witt Jr., Bobby","677951","118","629","2331","-5","-9","-17","10","10"
"2022","Melendez, MJ","669004","118","533","2196","-1","-7","-17","16","8"
"2022","Lopez, Nicky","670032","118","480","1762","-28","-16","-29","11","6"
"2022","Massey, Michael","686681","118","194","719","-5","-3","-8","4","2"
"2022","Pasquantino, Vinnie","686469","118","297","1039","13","3","-5","8","7"
"2022","Isbel, Kyle","664728","118","278","1073","-16","-8","-16","5","3"
"2022","O'Hearn, Ryan","656811","118","146","548","-3","-2","-5","1","3"
"2022","Perez, Salvador","521692","118","471","1700","14","10","-9","6","8"
"2022","Olivares, Edward","658668","118","174","688","4","-2","-2","5","3"
"2022","Gallagher, Cam","595956","118","47","174","2","-3","2","1","1"
"2022","Waters, Drew","671221","118","109","433","8","5","-1","3","1"
"2022","Mondesi, Adalberto","609275","118","54","215","-6","-2","-4","0","0"
"2022","Dozier, Hunter","641531","118","500","1938","-9","4","-27","6","8"
"2022","Gallo, Joey","608336","119","410","1725","-10","-4","-30","15","9"
"2022","Turner, Justin","457759","119","547","2206","22","1","-12","22","12"
"2022","Freeman, Freddie","518692","119","713","2819","58","1","22","21","15"
"2022","Thompson, Trayce","572204","119","271","1209","10","1","-9","12","5"
"2022","Lux, Gavin","666158","119","484","1888","2","-7","-15","15","8"
"2022","Muncy, Max","571970","119","580","2507","11","-19","-9","26","13"
"2022","Smith, Will","669257","119","591","2437","21","-9","-5","23","12"
"2022","Bellinger, Cody","641355","119","557","2334","-9","-21","-7","10","9"
"2022","Vargas, Miguel","678246","119","50","202","-2","-1","-3","1","1"
"2022","Ríos, Edwin","621458","119","91","347","1","-1","-1","2","1"
"2022","Barnes, Austin","605131","119","215","861","0","-12","0","9","3"
"2022","Betts, Mookie","605141","119","657","2495","36","4","-4","25","11"
"2022","Turner, Trea","607208","119","725","2789","26","-1","-1","16","12"
"2022","Alberto, Hanser","593643","119","159","521","-8","-1","-4","-5","2"
"2022","Taylor, Chris","621035","119","459","2007","-10","-13","-17","13","7"
"2022","Alfaro, Jorge","595751","135","274","1008","-2","2","-6","-2","4"
"2022","Profar, Jurickson","595777","135","710","3030","-4","-9","-28","22","11"
"2022","Mazara, Nomar","608577","135","171","714","0","-6","-2","4","4"
"2022","Myers, Wil","571976","135","315","1279","-4","-5","-12","8","5"
"2022","Cronenworth, Jake","630105","135","730","2851","14","-14","-11","26","14"
"2022","Nola, Austin","543592","135","442","1673","-6","-24","-3","12","7"
"2022","Machado, Manny","592518","135","686","2588","44","16","5","16","8"
"2022","Soto, Juan","665742","135","710","2963","34","-7","-11","35","17"
"2022","Drury, Brandon","592273","135","599","2366","26","2","-2","16","11"
"2022","Grisham, Trent","663757","135","568","2407","-14","-17","-25","19","9"
"2022","Campusano, Luis","669134","135","50","161","-3","-2","-1","0","0"
"2022","Bell, Josh","605137","135","680","2652","15","-8","-13","22","14"
"2022","Kim, Ha-Seong","673490","135","630","2537","4","-16","-7","17","10"
"2022","Beaty, Matt","607461","135","47","177","-8","-2","-8","1","2"
"2022","Azocar, José","640492","135","216","768","-10","-7","-8","2","3"
"2022","Mercedes, Yermín","606213","137","83","353","-3","-2","-5","4","0"
"2022","Davis, J.D.","605204","137","364","1486","5","7","-21","11","7"
"2022","Wynns, Austin","642851","137","177","703","-1","-4","-2","3","3"
"2022","González, Luis","670768","137","349","1472","-1","-9","-4","7","6"
"2022","Yastrzemski, Mike","573262","137","558","2349","-2","-9","-17","17","8"
"2022","Knapp, Andrew","595284","137","46","176","-5","-3","-4","1","0"
"2022","Crawford, Brandon","543063","137","455","1720","-7","-13","-13","10","10"
"2022","Villar, David","681584","137","181","730","4","1","-7","6","3"
"2022","Longoria, Evan","446334","137","296","1187","9","-1","-3","9","4"
"2022","Brinson, Lewis","621446","137","39","168","0","1","-2","0","0"
"2022","Slater, Austin","596103","137","325","1326","8","2","-10","8","8"
"2022","Bart, Joey","663698","137","291","1161","-6","-5","-11","6","4"
"2022","Calhoun, Willie","641432","137","62","233","-5","-6","-2","2","2"
"2022","Estrada, Thairo","642731","137","541","1945","3","-4","-14","10","10"
"2022","Vosler, Jason","613564","137","110","419","3","0","0","2","2"
"2022","Walton, Donovan","622268","137","78","298","-4","1","-7","0","2"
"2022","Flores, Wilmer","527038","137","601","2425","14","-8","-5","17","10"
"2022","Wade Jr., LaMonte","664774","137","251","992","-3","-6","-10","8","5"
"2022","Belt, Brandon","474832","137","296","1194","-7","-11","-14","11","7"
"2022","La Stella, Tommy","600303","137","195","794","-8","-10","-6","6","3"
"2022","Pederson, Joc","592626","137","430","1685","34","2","9","15","8"
"2022","Lowe, Josh","666139","139","197","851","-4","-9","-6","8","3"
"2022","Mejía, Francisco","642336","139","302","1104","-9","-8","-5","3","2"
"2022","Ramírez, Harold","623912","139","443","1608","9","-2","-1","4","8"
"2022","Walls, Taylor","670764","139","471","1917","-21","-22","-22","16","7"
"2022","Siri, Jose","642350","139","334","1300","-15","-14","-9","4","4"
"2022","Peralta, David","444482","139","486","1837","-5","-14","-4","7","5"
"2022","Arozarena, Randy","668227","139","653","2573","10","-6","0","6","10"
"2022","Kiermaier, Kevin","595281","139","221","831","2","3","-9","6","1"
"2022","Raley, Luke","670042","139","72","282","-4","-2","-5","1","2"
