player_id,name,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,r_total_caught_stealing,r_total_stolen_base,exit_velocity_avg,sweet_spot_percent,barrel_batted_rate,sprint_speed,team_name,division,league,avg_220,avg_240,avg_260,avg_280,avg_300,hr_10,hr_20,hr_30,hr_40,sb_05,sb_10,sb_15,sb_20,y_2023_avg
408234,"Cabrera, Miguel",2022,39,397,433,101,86,10,0,5,101,28,23.3,6.5,0.254,0.317,0.305,0.622,43,0,1,89.9,35.2,4.7,23.1,DET,ALC,AL,True,True,False,False,False,False,False,False,False,False,False,False,False,0.257
443558,"Cruz Jr., Nelson",2022,41,448,507,105,79,16,0,10,119,49,23.5,9.7,0.234,0.337,0.313,0.65,64,0,4,90.9,28.0,9.3,25.5,WSH,NLE,NL,True,False,False,False,False,True,False,False,False,False,False,False,False,0.245
444482,"Peralta, David",2022,34,439,490,110,65,30,3,12,114,41,23.3,8.4,0.251,0.415,0.316,0.731,59,3,1,90.3,35.0,8.5,27.6,TB,ALE,AL,True,True,False,False,False,True,False,False,False,False,False,False,False,0.259
444489,"Pina, Manny",2022,35,14,17,2,2,0,0,0,1,1,5.9,5.9,0.143,0.143,0.235,0.378,2,0,0,81.9,14.3,7.1,24.2,Free-Agent,Free-Agent,Free-Agent,False,False,False,False,False,False,False,False,False,False,False,False,False,0.25
446334,"Longoria, Evan",2022,36,266,298,65,38,13,0,14,83,27,27.9,9.1,0.244,0.451,0.315,0.766,42,0,0,91.1,33.3,12.4,25.2,SF,NLW,NL,True,True,False,False,False,True,False,False,False,False,False,False,False,0.223
453568,"Blackmon, Charlie",2022,35,530,577,140,96,22,6,16,109,32,18.9,5.5,0.264,0.419,0.314,0.733,78,1,4,86.2,36.7,4.4,27.9,COL,NLW,NL,True,True,True,False,False,True,False,False,False,False,False,False,False,0.279
455117,"Maldonado, Martin",2022,35,344,379,64,37,12,0,15,116,22,30.6,5.8,0.186,0.352,0.248,0.6,45,0,0,88.4,31.6,8.1,22.5,HOU,ALW,AL,False,False,False,False,False,True,False,False,False,False,False,False,False,0.191
456781,"Solano, Donovan",2022,34,278,304,79,59,16,0,4,61,19,20.1,6.3,0.284,0.385,0.339,0.724,24,0,0,88.3,36.1,5.9,25.8,CIN,NLC,NL,True,True,True,True,False,False,False,False,False,False,False,False,False,0.282
457705,"McCutchen, Andrew",2022,35,515,580,122,80,25,0,17,124,57,21.4,9.8,0.237,0.384,0.316,0.7,69,6,8,89.1,36.2,8.6,28.9,MIL,NLC,NL,True,False,False,False,False,True,False,False,False,True,False,False,False,0.256
457759,"Turner, Justin",2022,37,468,532,130,81,36,0,13,89,50,16.7,9.4,0.278,0.438,0.35,0.788,81,0,3,89.5,40.6,8.0,25.0,LAD,NLW,NL,True,True,True,False,False,True,False,False,False,False,False,False,False,0.276
458015,"Votto, Joey",2022,38,322,376,66,36,18,1,11,97,44,25.8,11.7,0.205,0.37,0.319,0.689,41,0,0,89.7,32.9,11.1,25.3,CIN,NLC,NL,False,False,False,False,False,True,False,False,False,False,False,False,False,0.202
462101,"Andrus, Elvis",2022,33,535,577,133,84,32,0,17,92,39,15.9,6.8,0.249,0.404,0.303,0.707,58,4,18,87.9,29.1,4.5,26.1,CWS,ALC,AL,True,True,False,False,False,True,False,False,False,True,True,True,False,0.251
467793,"Santana, Carlos",2022,36,431,506,87,50,18,0,19,88,71,17.4,14.0,0.202,0.376,0.316,0.692,60,0,0,90.7,31.6,9.3,25.7,SEA,ALW,AL,False,False,False,False,False,True,False,False,False,False,False,False,False,0.24
474832,"Belt, Brandon",2022,34,254,298,54,36,9,1,8,81,37,27.2,12.4,0.213,0.35,0.326,0.676,23,0,1,88.4,38.5,12.6,24.4,SF,NLW,NL,False,False,False,False,False,False,False,False,False,False,False,False,False,0.254
488726,"Brantley Jr., Michael",2022,35,243,277,70,50,14,1,5,30,31,10.8,11.2,0.288,0.416,0.37,0.786,26,1,1,89.8,39.5,6.0,25.3,HOU,ALW,AL,True,True,True,True,False,False,False,False,False,False,False,False,False,0.278
493329,"Gurriel, Yuli",2022,38,545,584,132,84,40,0,8,73,30,12.5,5.1,0.242,0.36,0.288,0.648,53,0,8,88.2,30.3,1.9,26.9,HOU,ALW,AL,True,True,False,False,False,False,False,False,False,True,False,False,False,0.245
500743,"Rojas, Miguel",2022,33,471,507,111,84,19,2,6,61,26,12.0,5.1,0.236,0.323,0.283,0.606,36,3,9,86.1,33.1,1.9,26.4,MIA,NLE,NL,True,False,False,False,False,False,False,False,False,True,False,False,False,0.236
500871,"Escobar, Eduardo",2022,33,495,542,119,69,26,4,20,129,40,23.8,7.4,0.24,0.43,0.295,0.725,69,2,0,88.3,38.7,9.4,27.9,NYM,NLE,NL,True,True,False,False,False,True,True,False,False,False,False,False,False,0.226
501303,"Adrianza, Ehire",2022,32,97,110,17,14,3,0,0,25,11,22.7,10.0,0.175,0.206,0.264,0.47,7,0,1,84.6,30.1,1.4,26.4,ATL,NLE,NL,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
501659,"Almonte, Abraham",2022,33,35,37,9,6,2,0,1,12,1,32.4,2.7,0.257,0.4,0.297,0.697,2,0,1,88.1,34.8,4.3,26.1,BOS,ALE,AL,True,True,False,False,False,False,False,False,False,False,False,False,False,0.067
502054,"Pham, Tommy",2022,34,554,622,131,90,23,1,17,167,56,26.8,9.0,0.236,0.374,0.312,0.686,63,3,8,92.2,33.2,7.9,27.9,BOS,ALE,AL,True,False,False,False,False,True,False,False,False,True,False,False,False,0.256
502110,"Martinez, J.D.",2022,34,533,596,146,86,43,1,16,145,52,24.3,8.7,0.274,0.448,0.341,0.789,62,0,0,89.1,42.0,12.5,26.1,BOS,ALE,AL,True,True,True,False,False,True,False,False,False,False,False,False,False,0.271
502671,"Goldschmidt, Paul",2022,34,561,651,178,102,41,0,35,141,79,21.7,12.1,0.317,0.578,0.404,0.982,115,0,7,90.8,31.8,11.6,26.2,STL,NLC,NL,True,True,True,True,True,True,True,True,False,True,False,False,False,0.268
506702,"Leon, Sandy",2022,33,71,86,12,9,3,0,0,27,13,31.4,15.1,0.169,0.211,0.298,0.509,4,0,0,84.3,39.1,0.0,23.6,MIN,ALC,AL,False,False,False,False,False,False,False,False,False,False,False,False,False,0.146
514888,"Altuve, Jose",2022,32,527,604,158,91,39,0,28,87,66,14.4,10.9,0.3,0.533,0.387,0.92,57,1,18,85.9,35.4,7.7,28.1,HOU,ALW,AL,True,True,True,True,True,True,True,False,False,True,True,True,False,0.311
516416,"Segura, Jean",2022,32,354,387,98,79,9,0,10,58,25,15.0,6.5,0.277,0.387,0.336,0.723,33,6,13,87.6,28.3,4.4,27.7,PHI,NLE,NL,True,True,True,False,False,True,False,False,False,True,True,False,False,0.219
516782,"Marte, Starling",2022,33,466,505,136,91,24,5,16,97,26,19.2,5.1,0.292,0.468,0.347,0.815,63,9,18,86.8,38.5,6.8,28.0,NYM,NLE,NL,True,True,True,True,False,True,False,False,False,True,True,True,False,0.248
518595,"d'Arnaud, Travis",2022,33,396,426,106,62,25,1,18,90,19,21.1,4.5,0.268,0.472,0.319,0.791,60,0,0,88.5,35.0,8.5,26.1,ATL,NLE,NL,True,True,True,False,False,True,False,False,False,False,False,False,False,0.225
518626,"Donaldson, Josh",2022,36,478,546,106,63,28,0,15,148,54,27.1,9.9,0.222,0.374,0.308,0.682,62,2,2,90.7,34.8,9.8,25.7,NYY,ALE,AL,True,False,False,False,False,True,False,False,False,False,False,False,False,0.152
518692,"Freeman, Freddie",2022,32,612,708,199,129,47,2,21,102,84,14.4,11.9,0.325,0.511,0.407,0.918,100,3,13,91.3,42.9,9.9,26.9,LAD,NLW,NL,True,True,True,True,True,True,True,False,False,True,True,False,False,0.331
518735,"Grandal, Yasmani",2022,33,327,376,66,54,7,0,5,79,45,21.0,12.0,0.202,0.269,0.301,0.57,27,0,1,90.0,30.0,4.8,22.0,CWS,ALC,AL,False,False,False,False,False,False,False,False,False,False,False,False,False,0.234
518792,"Heyward, Jason",2022,32,137,151,28,21,5,1,1,32,11,21.2,7.3,0.204,0.277,0.278,0.555,10,0,1,87.6,26.7,4.8,27.1,CHC,NLC,NL,False,False,False,False,False,False,False,False,False,False,False,False,False,0.269
