"name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","r_run","xba","xslg","xobp","avg_swing_speed","squared_up_contact","squared_up_swing","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","n_outs_above_average","n_bolts","sprint_speed"
"Pujols, Albert","405395","2021","41","275","296","65","45","3","0","17","45","14",".236",".433",".284","0.717","50","29",".256",".460",".302",,,,"90.3","12",29.3,"21",9.1,,,"22.5"
"Cabrera, Miguel","408234","2021","38","472","526","121","90","16","0","15","118","40",".256",".386",".316","0.702","75","48",".234",".420",".301",,,,"91.4","10",32.8,"30",8.3,,,"24.0"
"Rivera, René","425784","2021","37","69","78","16","11","3","0","2","29","4",".232",".362",".293","0.655","9","8",".196",".334",".260",,,,"88.5","13",30.2,"4",9.3,,,"26.0"
"Wainwright, Adam","425794","2021","39","57","74","7","5","2","0","0","25","3",".123",".158",".167","0.325","4","1",".140",".203",".183",,,,"86.1","4.7",15.2,"1",2.2,,,"23.3"
"Molina, Yadier","425877","2021","38","440","473","111","81","19","0","11","79","24",".252",".370",".297","0.667","66","45",".255",".406",".300",,,,"88","15.3",34.1,"19",5.2,,,"22.8"
"Suzuki, Kurt","435559","2021","37","219","247","49","35","8","0","6","44","12",".224",".342",".294","0.636","16","17",".204",".310",".278",,,,"85.2","14.6",28.9,"7",3.9,,,"24.6"
"Cruz Jr., Nelson","443558","2021","40","513","584","136","82","21","1","32","126","51",".265",".497",".334","0.831","86","79",".264",".512",".341",,,,"92.9","11.8",31.8,"54",13.6,,,"26.0"
"Peralta, David","444482","2021","33","487","538","126","80","30","8","8","92","46",".259",".402",".325","0.727","63","57",".243",".345",".313",,,,"89.3","5.3",27.2,"20",5,"5",,"27.6"
"Piña, Manny","444489","2021","34","180","208","34","15","6","0","13","38","22",".189",".439",".293","0.732","33","27",".219",".441",".320",,,,"86.5","18.8",32.2,"15",10.5,,,"25.1"
"Escobar, Alcides","444876","2021","34","319","349","92","65","21","2","4","56","17",".288",".404",".340","0.744","28","53",".271",".362",".325",,,,"81.7","11.1",36.3,"8",3,,"3","27.5"
"Jay, Jon","445055","2021","36","14","14","5","5","0","0","0","2","0",".357",".357",".357","0.714","1","2",".202",".227",".202",,,,"83.2","4",25,"0",0,,,"25.9"
"Longoria, Evan","446334","2021","35","253","291","66","36","17","0","13","68","35",".261",".482",".351","0.833","46","45",".253",".486",".344",,,,"94.1","15.5",34.2,"25",13.4,,,"26.1"
"Lobatón, Jose","446653","2021","36","11","13","0","0","0","0","0","5","2",".000",".000",".154","0.154","0","1",".121",".156",".256",,,,"90.4","2.4",33.3,"0",0,,,
"Hill, Rich","448179","2021","41","24","26","3","3","0","0","0","10","0",".125",".125",".125","0.250","0","0",".092",".096",".092",,,,"68.3","-24.9",18.8,"0",0,,,"25.1"
"Morton, Charlie","450203","2021","37","55","62","7","6","1","0","0","31","0",".127",".145",".127","0.272","1","5",".136",".170",".136",,,,"80.8","3.7",25.8,"0",0,,,"21.4"
"Fowler, Dexter","451594","2021","35","20","21","5","5","0","0","0","6","1",".250",".250",".286","0.536","1","3",".232",".337",".269",,,,"86.7","23.8",42.9,"0",0,,,
"Lester, Jon","452657","2021","37","48","51","8","5","2","0","1","24","2",".167",".271",".200","0.471","3","3",".181",".287",".213",,,,"86","0.5",40,"2",8,,,
"Cabrera, Asdrúbal","452678","2021","35","309","352","71","43","21","0","7","80","36",".230",".366",".313","0.679","42","34",".214",".331",".302",,,,"87.8","14.5",30,"14",6,,,"25.0"
"LeBlanc, Wade","453281","2021","36","11","13","0","0","0","0","0","3","0",".000",".000",".000","0.000","0","0",".104",".120",".104",,,,"77.5","1",0,"0",0,,,
"Scherzer, Max","453286","2021","36","59","63","0","0","0","0","0","28","0",".000",".000",".000","0.000","1","0",".072",".096",".073",,,,"85.6","-4.6",22.9,"0",0,,,"21.0"
"Arrieta, Jake","453562","2021","35","23","30","3","3","0","0","0","16","2",".130",".130",".231","0.361","0","3",".082",".095",".188",,,,"77.4","10.5",27.3,"0",0,,,"23.3"
