name,player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,r_total_caught_stealing,r_total_stolen_base,exit_velocity_avg,sweet_spot_percent,barrel_batted_rate,hp_to_1b,sprint_speed,team_id,team_name,division,league,avg_220,avg_240,avg_260,avg_280,avg_300,hr_10,hr_20,hr_30,hr_40,sb_05,sb_10,sb_15,sb_20
"Pujols, Albert",405395,2021,41,275,296,65,45,3,0,17,45,14,15.2,4.7,0.236,0.433,0.284,0.717,50,0,2,90.3,29.3,9.1,5.15,22.4,119.0,LAD,NLW,NL,True,False,False,False,False,True,False,False,False,False,False,False,False
"Cabrera, Miguel",408234,2021,38,472,526,121,90,16,0,15,118,40,22.4,7.6,0.256,0.386,0.316,0.702,75,0,0,91.4,32.8,8.3,5.01,23.9,116.0,DET,ALC,AL,True,True,False,False,False,True,False,False,False,False,False,False,False
"Rivera, Rene",425784,2021,37,69,78,16,11,3,0,2,29,4,37.2,5.1,0.232,0.362,0.293,0.655,9,0,0,88.5,30.2,9.3,4.78,26.0,120.0,WSH,NLE,NL,True,False,False,False,False,False,False,False,False,False,False,False,False
"Wainwright, Adam",425794,2021,39,57,74,7,5,2,0,0,25,3,33.8,4.1,0.123,0.158,0.167,0.325,4,0,0,86.1,15.2,2.2,,23.3,138.0,STL,NLC,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Molina, Yadier",425877,2021,38,440,473,111,81,19,0,11,79,24,16.7,5.1,0.252,0.37,0.297,0.667,66,0,3,88.0,34.1,5.2,4.92,22.6,138.0,STL,NLC,NL,True,True,False,False,False,True,False,False,False,False,False,False,False
"Suzuki, Kurt",435559,2021,37,219,247,49,35,8,0,6,44,12,17.8,4.9,0.224,0.342,0.294,0.636,16,0,0,85.2,28.9,3.9,4.92,24.6,108.0,LAA,ALW,AL,True,False,False,False,False,False,False,False,False,False,False,False,False
"Cruz Jr., Nelson",443558,2021,40,513,584,136,82,21,1,32,126,51,21.6,8.7,0.265,0.497,0.334,0.831,86,0,3,92.9,31.8,13.6,4.69,26.0,139.0,TB,ALE,AL,True,True,True,False,False,True,True,True,False,False,False,False,False
"Peralta, David",444482,2021,33,487,538,126,80,30,8,8,92,46,17.1,8.6,0.259,0.402,0.325,0.727,63,1,2,89.3,27.2,5.0,4.38,27.6,109.0,ARI,NLW,NL,True,True,False,False,False,False,False,False,False,False,False,False,False
"Pina, Manny",444489,2021,34,180,208,34,15,6,0,13,38,22,18.3,10.6,0.189,0.439,0.293,0.732,33,0,0,86.5,32.2,10.5,4.93,25.1,158.0,MIL,NLC,NL,False,False,False,False,False,True,False,False,False,False,False,False,False
"Escobar, Alcides",444876,2021,34,319,349,92,65,21,2,4,56,17,16.0,4.9,0.288,0.404,0.34,0.744,28,0,3,81.7,36.3,3.0,4.37,27.4,120.0,WSH,NLE,NL,True,True,True,True,False,False,False,False,False,False,False,False,False
