date,weight_lbs,exer,food,avg_7d
2024-11-19,160.4,1,5,160
2024-11-20,159.2,1,6,160
2024-11-21,159.0,0,5,160.03
2024-11-22,159.2,1,6,159.86
2024-11-23,159.0,0,5,159.66
2024-11-24,159.0,1,4,159.46
2024-11-25,158.8,1,2,159.23
2024-11-26,159.0,1,5,159.03
2024-11-27,159.0,0,5,159.0
2024-11-28,157.0,1,6,158.71
2024-11-29,161.0,1,2,158.97
2024-11-30,159.0,0,4,158.97
2024-12-01,154.8,1,8,158.37
2024-12-02,156.8,0,6,158.09
2024-12-03,159.6,1,5,158.17
2024-12-04,158.0,0,5,158.03
2024-12-05,159.2,1,5,158.34
2024-12-06,159.0,1,5,158.06
2024-12-07,158.0,1,5,157.91
2024-12-08,159.0,1,4,158.51
2024-12-09,158.4,1,4,158.74
2024-12-10,159.6,1,5,158.74
2024-12-11,158.0,0,5,158.74
2024-12-12,154.8,1,7,158.11
2024-12-13,154.2,1,7,157.43
2024-12-14,155.6,1,7,157.09
2024-12-15,156.4,0,3,156.71
2024-12-16,155.8,1,7,156.34
2024-12-17,156.0,1,7,155.83
2024-12-18,154.8,1,7,155.37
2024-12-19,154.8,1,7,155.37
2024-12-20,155.4,1,7,155.54
2024-12-21,156.0,0,4,155.6
2024-12-22,155.2,1,4,155.43
2024-12-23,155.6,0,4,155.4
2024-12-24,156.4,1,5,155.46
2024-12-25,157.4,1,2,155.83
2024-12-26,156.0,1,4,156.0
2024-12-27,156.0,1,4,156.09
2024-12-28,156.4,1,3,156.14
2024-12-29,157.4,0,3,156.46
2024-12-30,158.6,1,1,156.89
2024-12-31,158.8,1,2,157.23
2025-01-01,161.4,1,1,157.8
2025-01-02,160.0,1,1,158.37
2025-01-03,158.8,1,6,158.77
2025-01-04,160.6,1,1,158.94
2025-01-05,158.6,1,1,158.94
2025-01-06,157.6,1,1,158.94
2025-01-07,160.0,1,1,159.57
2025-01-08,161.4,1,1,159.57
2025-01-09,159.2,1,8,159.46
2025-01-10,158.4,1,6,159.4
2025-01-11,159.2,1,2,159.2
2025-01-12,160.0,0,1,159.4
2025-01-13,161.2,0,1,159.91
2025-01-14,160.2,1,5,159.94
2025-01-15,161.2,0,1,159.91
2025-01-16,161.2,0,1,160.2
2025-01-17,160.0,0,6,160.43
2025-01-18,159.2,1,6,160.43
2025-01-19,158.8,0,3,160.26
2025-01-20,159.2,1,6,159.97
2025-01-21,159.4,1,5,159.86
2025-01-22,158.4,1,6,159.46
2025-01-23,159.6,1,5,159.23
2025-01-24,157.4,1,5,158.86
2025-01-25,158.8,1,6,158.8
2025-01-26,160.0,0,3,158.97
2025-01-27,160.0,0,4,159.09
2025-01-28,159.0,0,4,159.03
2025-01-29,158.8,0,4,159.09
2025-01-30,157.6,1,6,158.8
2025-01-31,158.8,0,3,159.0
2025-02-01,157.8,0,6,158.86
2025-02-02,160.0,0,2,158.86
2025-02-03,159.8,0,4,158.83
2025-02-04,160.0,1,3,158.97
2025-02-05,158.8,1,6,158.97
2025-02-06,158.8,0,5,159.14
2025-02-07,158.8,1,3,159.14
2025-02-08,160.0,0,2,159.46
2025-02-09,158.6,1,5,159.26
2025-02-10,158.8,0,6,159.11
2025-02-11,159.0,1,5,158.97
2025-02-12,158.6,1,5,158.94
2025-02-13,158.0,0,5,158.83
2025-02-14,158.6,1,5,158.8
2025-02-15,159.8,1,1,158.77
2025-02-16,158.8,1,6,158.8
2025-02-17,158.8,0,5,158.8
2025-02-18,157.8,1,6,158.63
2025-02-19,158.6,1,6,158.63
2025-02-20,158.8,1,5,158.74
2025-02-21,158.2,0,5,158.69
2025-02-22,156.6,0,5,158.23
2025-02-23,157.8,1,4,158.09
2025-02-24,157.6,1,5,157.91
2025-02-25,159.8,0,5,158.2
2025-02-26,157.2,1,5,158.0
2025-02-27,157.2,1,5,157.77
2025-02-28,155.6,1,5,157.4
2025-03-01,158.2,0,5,157.63
2025-03-02,159.0,1,3,157.8
2025-03-03,158.4,1,4,157.91
2025-03-04,156.4,0,4,157.43
2025-03-05,156.4,1,6,157.31
2025-03-06,156.6,1,5,157.23
2025-03-07,156.6,1,5,157.37
2025-03-08,156.8,1,5,157.17
2025-03-09,158.0,1,5,157.03
2025-03-10,158.2,0,3,157.0
2025-03-11,156.4,1,6,157.0
2025-03-12,154.8,1,7,156.77
2025-03-13,155.8,1,5,156.66
2025-03-14,154.6,1,5,156.37
2025-03-15,155.0,1,4,156.11
2025-03-16,156.8,0,3,155.94
2025-03-17,157.2,0,4,155.8
2025-03-18,155.0,0,4,155.6
2025-03-19,154.6,0,5,155.57
2025-03-20,154.2,1,6,155.34
2025-03-21,154.8,0,3,155.37
2025-03-22,156.0,1,2,155.51
2025-03-23,157.0,0,2,155.54
2025-03-24,156.4,0,2,155.43
2025-03-25,154.8,0,1,155.4
2025-03-26,156.0,1,5,155.6
2025-03-27,155.0,1,5,155.71
2025-03-28,156.8,0,5,156.0
2025-03-29,154.8,1,5,155.83
2025-03-30,157.0,0,3,155.83
2025-03-31,157.0,0,5,155.91
2025-04-01,154.4,0,5,155.86
2025-04-02,154.6,1,6,155.66
2025-04-03,154.8,1,7,155.63
2025-04-04,154.6,1,6,155.31
2025-04-05,154.4,1,5,155.26
2025-04-06,155.4,1,4,155.03
2025-04-07,155.0,1,4,154.74
