last_name, first_name,player_id,year,player_age,ab,hit,single,double,triple,home_run,strikeout,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,r_stolen_base_pct,xslg,xobp,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,n_bolts,sprint_speed,
Pujols, Albert,405395,2020,40,152,34,20,8,0,6,25,15.3,5.5,.224,.395,.270,0.665,,.401,.293,88.6,16.4,30.5,7,5.5,64.3,11.1,35.7,40.2,59.8,43,380,189,,22.0,
Cabrera, Miguel,408234,2020,37,204,51,37,4,0,10,51,22.1,10.4,.250,.417,.329,0.746,,.520,.366,93.2,12.1,36.8,15,9.7,70.5,18.4,29.9,55.9,44.1,88,483,324,,23.0,
Choo, Shin-Soo,425783,2020,37,110,26,18,3,0,5,33,26,10.2,.236,.400,.323,0.723,,.455,.338,90,11.4,38,8,10.1,61,26.5,20.4,49.1,49.1,66,323,129,,25.9,
Molina, Yadier,425877,2020,37,145,38,32,2,0,4,21,13.5,3.8,.262,.359,.303,0.662,,.385,.296,84.7,12.3,38.9,3,2.4,72.5,14.7,39.7,38.5,60.7,34,319,193,,23.0,
Cano, Robinson,429664,2020,37,171,54,35,9,0,10,24,13.2,4.9,.316,.544,.352,0.896,,.481,.338,90.4,6.2,31.8,11,7.4,76.3,9.6,42,35.3,64.7,96,366,137,,24.8,
Encarnacion, Edwin,429665,2020,37,159,25,10,5,0,10,54,29.8,8.8,.157,.377,.250,0.627,,.366,.257,85.4,22.8,29.2,14,13.2,63.1,25.9,29.9,45.5,54.5,62,408,302,,25.4,
Kendrick III, Howie,435062,2020,36,91,25,19,4,0,2,17,17,7,.275,.385,.320,0.705,,.450,.333,88.8,7.3,39.5,5,6.6,65.9,12.3,35.7,35.2,64.8,42,224,107,,24.8,
Suzuki, Kurt,435559,2020,36,111,30,20,8,0,2,19,14.7,8.5,.270,.396,.349,0.745,,.348,.330,83.9,18,31.6,3,3.2,68.8,11.8,27.8,30.3,69.7,40,263,171,,24.1,
Cruz Jr., Nelson,443558,2020,39,185,56,34,6,0,16,58,27.1,11.7,.303,.595,.397,0.992,,.545,.369,91.6,9.4,39.4,19,15,68.5,22,30.8,56.3,43.8,87,458,296,,25.2,
Peralta, David,444482,2020,32,203,61,45,10,1,5,45,20.6,6,.300,.433,.339,0.772,,.375,.304,89.2,6.4,29.4,8,5,65.5,15.5,26.6,35.8,64.2,105,498,213,,27.0,
Longoria, Evan,446334,2020,34,193,49,31,10,1,7,39,18.7,5.3,.254,.425,.297,0.722,,.524,.329,91.7,10.7,29.9,18,11.5,62.2,12.2,28,40.2,59.8,65,444,282,,26.6,
Fowler, Dexter,451594,2020,34,90,21,15,2,0,4,28,27.7,9.9,.233,.389,.317,0.706,,.351,.300,84.5,11.2,33.9,3,4.8,71.6,26.5,22.5,46.3,53.7,76,224,147,,26.6,
Cabrera, Asdrubal,452678,2020,34,190,46,26,9,3,8,40,18.8,8.9,.242,.447,.305,0.752,,.429,.307,89.5,13.7,30.5,10,6.5,66.8,12.3,28.4,36.9,62.3,112,527,202,,24.8,
Blackmon, Charlie,453568,2020,33,221,67,48,12,1,6,44,17.8,7.7,.303,.448,.356,0.804,,.426,.340,86.9,13.5,38.5,9,4.9,70.2,15.3,29.8,42.5,57.5,127,568,194,,26.8,
Frazier, Todd,453943,2020,34,157,37,23,9,1,4,42,24.4,6.4,.236,.382,.302,0.684,,.370,.294,87.8,20.5,33,6,5.2,62.1,19,28.5,41.1,58.9,94,414,206,,24.2,
